"id","created_at","json_response"
1131,2023-05-15 15:51:28.895 -0300,"{""id"":""1JGMXR"" , ""amount"":""1792.97"" , ""cache-control"":""1""}"
1132,2023-05-15 15:51:32.290 -0300,"{""id"":""QI4B3N"" , ""amount"":""1177.63"" , ""cache-control"":""1""}"
1134,2023-05-15 15:55:43.777 -0300,"{""id"":""3AY24B"" , ""amount"":""3883.20"" , ""cache-control"":""1""}"
1135,2023-05-15 15:55:50.606 -0300,"{""id"":""W77EWJ"" , ""amount"":""1129.35"" , ""cache-control"":""1""}"
1140,2023-05-15 16:00:34.091 -0300,"{""id"":""GHK9ID"" , ""amount"":""381.90"" , ""cache-control"":""1""}"
1143,2023-05-15 16:03:36.951 -0300,"{""id"":""YR7KHT"" , ""amount"":""2286.83"" , ""cache-control"":""1""}"
1144,2023-05-15 16:04:21.373 -0300,"{""id"":""PWDT2N"" , ""amount"":""1498.85"" , ""cache-control"":""1""}"
1158,2023-05-15 16:25:55.481 -0300,"{""id"":""XYIVBD"" , ""amount"":""1444.50"" , ""cache-control"":""1""}"
1178,2023-05-15 16:55:31.638 -0300,"{""id"":""UF0CN3"" , ""amount"":""1136.68"" , ""cache-control"":""1""}"
1195,2023-05-15 17:46:58.353 -0300,"{""id"":""YJZUR7"" , ""amount"":""1899.05"" , ""cache-control"":""1""}"
1222,2023-05-15 18:53:43.216 -0300,"{""id"":""MPRC5OSLL"" , ""amount"":""16138.80"" , ""cache-control"":""1""}"
1228,2023-05-15 19:09:51.030 -0300,"{""id"":""PLTISK"" , ""amount"":""1533.85"" , ""cache-control"":""1""}"
1310,2023-05-15 22:56:29.273 -0300,"{""id"":""U1F0C1"" , ""amount"":""223.53"" , ""cache-control"":""1""}"
1318,2023-05-15 23:40:01.426 -0300,"{""id"":""W5KN1R"" , ""amount"":""223.53"" , ""cache-control"":""1""}"
1325,2023-05-16 01:56:49.821 -0300,"{""id"":""X6MFN8"" , ""amount"":""1516.30"" , ""cache-control"":""1""}"
1331,2023-05-16 05:55:19.350 -0300,"{""id"":""7R9FRS"" , ""amount"":""3596.15"" , ""cache-control"":""1""}"
1332,2023-05-16 06:10:29.088 -0300,"{""id"":""UJTJE1"" , ""amount"":""541.26"" , ""cache-control"":""1""}"
1333,2023-05-16 06:13:01.832 -0300,"{""id"":""7ZGUR1"" , ""amount"":""3596.15"" , ""cache-control"":""1""}"
1338,2023-05-16 07:21:19.756 -0300,"{""id"":""74NDFC"" , ""amount"":""266.28"" , ""cache-control"":""1""}"
1339,2023-05-16 07:39:43.001 -0300,"{""id"":""LAHF84"" , ""amount"":""323.80"" , ""cache-control"":""1""}"
1343,2023-05-16 08:16:51.617 -0300,"{""id"":""42D3KX"" , ""amount"":""1122.95"" , ""cache-control"":""1""}"
1345,2023-05-16 08:23:48.041 -0300,"{""id"":""HIBCPH"" , ""amount"":""756.89"" , ""cache-control"":""1""}"
1350,2023-05-16 08:36:50.601 -0300,"{""id"":""7ML3MD"" , ""amount"":""890.06"" , ""cache-control"":""1""}"
1351,2023-05-16 08:43:08.261 -0300,"{""id"":""0ORC7M"" , ""amount"":""542.43"" , ""cache-control"":""1""}"
1352,2023-05-16 08:43:35.714 -0300,"{""id"":""EYLFXC"" , ""amount"":""76.94"" , ""cache-control"":""1""}"
1360,2023-05-16 08:55:40.450 -0300,"{""id"":""RTKAMP"" , ""amount"":""1926.41"" , ""cache-control"":""1""}"
1368,2023-05-16 09:11:20.794 -0300,"{""id"":""AK1OFN"" , ""amount"":""1281.38"" , ""cache-control"":""1""}"
1384,2023-05-16 09:50:04.174 -0300,"{""id"":""IC8LT1"" , ""amount"":""1986.03"" , ""cache-control"":""1""}"
1402,2023-05-16 10:20:53.508 -0300,"{""id"":""2QWX39"" , ""amount"":""955.52"" , ""cache-control"":""1""}"
1404,2023-05-16 10:22:55.415 -0300,"{""id"":""PG3P0E"" , ""amount"":""211.43"" , ""cache-control"":""1""}"
1410,2023-05-16 10:38:01.453 -0300,"{""id"":""DHKENS"" , ""amount"":""1852.51"" , ""cache-control"":""1""}"
1413,2023-05-16 10:44:38.765 -0300,"{""id"":""GW5X10"" , ""amount"":""302.46"" , ""cache-control"":""1""}"
1416,2023-05-16 10:50:24.742 -0300,"{""id"":""MSW6IN"" , ""amount"":""106.04"" , ""cache-control"":""1""}"
1418,2023-05-16 10:53:17.348 -0300,"{""id"":""BBOLQ3"" , ""amount"":""1404.96"" , ""cache-control"":""1""}"
1424,2023-05-16 11:07:21.077 -0300,"{""id"":""MIMETO"" , ""amount"":""866.27"" , ""cache-control"":""1""}"
1425,2023-05-16 11:08:28.218 -0300,"{""id"":""WCP49X"" , ""amount"":""1404.96"" , ""cache-control"":""1""}"
1427,2023-05-16 11:12:58.121 -0300,"{""id"":""BRT8LX"" , ""amount"":""506.17"" , ""cache-control"":""1""}"
1431,2023-05-16 11:17:30.757 -0300,"{""id"":""G6Q09T"" , ""amount"":""322.64"" , ""cache-control"":""1""}"
1432,2023-05-16 11:18:27.648 -0300,"{""id"":""SLEHW2"" , ""amount"":""501.17"" , ""cache-control"":""1""}"
1433,2023-05-16 11:18:33.111 -0300,"{""id"":""8DJMQB"" , ""amount"":""388.53"" , ""cache-control"":""1""}"
1434,2023-05-16 11:18:43.774 -0300,"{""id"":""XYS85K"" , ""amount"":""574.64"" , ""cache-control"":""1""}"
1437,2023-05-16 11:21:16.475 -0300,"{""id"":""G0GZ4F"" , ""amount"":""1954.14"" , ""cache-control"":""1""}"
1444,2023-05-16 11:33:13.369 -0300,"{""id"":""AXY7RF"" , ""amount"":""863.01"" , ""cache-control"":""1""}"
1457,2023-05-16 11:54:39.920 -0300,"{""id"":""LGT31T"" , ""amount"":""6342.04"" , ""cache-control"":""1""}"
1464,2023-05-16 12:04:24.682 -0300,"{""id"":""WEA0CW"" , ""amount"":""1794.42"" , ""cache-control"":""1""}"
1466,2023-05-16 12:06:58.376 -0300,"{""id"":""VK55ZZ"" , ""amount"":""1624.82"" , ""cache-control"":""1""}"
1470,2023-05-16 12:08:37.492 -0300,"{""id"":""AYTQEL"" , ""amount"":""736.46"" , ""cache-control"":""1""}"
1473,2023-05-16 12:19:08.475 -0300,"{""id"":""PDM8P2"" , ""amount"":""609.37"" , ""cache-control"":""1""}"
1475,2023-05-16 12:22:22.623 -0300,"{""id"":""WH7DT4"" , ""amount"":""381.90"" , ""cache-control"":""1""}"
1479,2023-05-16 12:30:07.177 -0300,"{""id"":""1804JP"" , ""amount"":""764.06"" , ""cache-control"":""1""}"
1481,2023-05-16 12:37:27.010 -0300,"{""id"":""DJKIKT"" , ""amount"":""1236.47"" , ""cache-control"":""1""}"
1482,2023-05-16 12:41:32.781 -0300,"{""id"":""5XSQOX"" , ""amount"":""639.04"" , ""cache-control"":""1""}"
1483,2023-05-16 12:43:35.055 -0300,"{""id"":""403N4G"" , ""amount"":""2138.24"" , ""cache-control"":""1""}"
1489,2023-05-16 12:49:40.520 -0300,"{""id"":""P90X93"" , ""amount"":""2138.24"" , ""cache-control"":""1""}"
1497,2023-05-16 12:59:54.250 -0300,"{""id"":""6J1YFZ"" , ""amount"":""764.06"" , ""cache-control"":""1""}"
1504,2023-05-16 13:07:10.801 -0300,"{""id"":""O7OK03"" , ""amount"":""1787.17"" , ""cache-control"":""1""}"
1513,2023-05-16 13:29:20.194 -0300,"{""id"":""64CWU1"" , ""amount"":""1672.63"" , ""cache-control"":""1""}"
1518,2023-05-16 13:39:12.054 -0300,"{""id"":""JNQM4X"" , ""amount"":""141.15"" , ""cache-control"":""1""}"
1520,2023-05-16 13:40:00.383 -0300,"{""id"":""20S2IV"" , ""amount"":""4198.61"" , ""cache-control"":""1""}"
1522,2023-05-16 13:52:30.431 -0300,"{""id"":""T5U68T"" , ""amount"":""846.06"" , ""cache-control"":""1""}"
1524,2023-05-16 13:54:41.053 -0300,"{""id"":""0FJYOW"" , ""amount"":""1803.76"" , ""cache-control"":""1""}"
1526,2023-05-16 14:00:29.258 -0300,"{""id"":""B0OJOW"" , ""amount"":""809.30"" , ""cache-control"":""1""}"
1528,2023-05-16 14:02:55.786 -0300,"{""id"":""RKCMBU"" , ""amount"":""1219.56"" , ""cache-control"":""1""}"
1530,2023-05-16 14:10:07.685 -0300,"{""id"":""6MFKIC"" , ""amount"":""1219.56"" , ""cache-control"":""1""}"
1538,2023-05-16 14:14:16.599 -0300,"{""id"":""FWF8HC"" , ""amount"":""830.68"" , ""cache-control"":""1""}"
1539,2023-05-16 14:14:49.145 -0300,"{""id"":""HE8SQC"" , ""amount"":""1219.56"" , ""cache-control"":""1""}"
1544,2023-05-16 14:23:44.850 -0300,"{""id"":""VNQX2Q"" , ""amount"":""4841.98"" , ""cache-control"":""1""}"
1552,2023-05-16 14:33:30.447 -0300,"{""id"":""UDUKYP"" , ""amount"":""1457.50"" , ""cache-control"":""1""}"
1559,2023-05-16 14:39:43.206 -0300,"{""id"":""M5RHSW"" , ""amount"":""281.13"" , ""cache-control"":""1""}"
1561,2023-05-16 14:42:59.563 -0300,"{""id"":""0VH3CW"" , ""amount"":""928.20"" , ""cache-control"":""1""}"
1565,2023-05-16 14:47:20.874 -0300,"{""id"":""HJNKXH"" , ""amount"":""367.09"" , ""cache-control"":""1""}"
1579,2023-05-16 15:06:46.424 -0300,"{""id"":""QFCQVG"" , ""amount"":""978.13"" , ""cache-control"":""1""}"
1600,2023-05-16 15:48:48.922 -0300,"{""id"":""T7872B"" , ""amount"":""2012.34"" , ""cache-control"":""1""}"
1601,2023-05-16 15:49:15.400 -0300,"{""id"":""QX7ILL"" , ""amount"":""1219.56"" , ""cache-control"":""1""}"
1603,2023-05-16 15:52:10.887 -0300,"{""id"":""ESF1Z2"" , ""amount"":""2012.34"" , ""cache-control"":""1""}"
1620,2023-05-16 16:10:16.351 -0300,"{""id"":""DL13BA"" , ""amount"":""1053.62"" , ""cache-control"":""1""}"
1624,2023-05-16 16:12:57.860 -0300,"{""id"":""GWSATH"" , ""amount"":""1261.95"" , ""cache-control"":""1""}"
1634,2023-05-16 16:28:01.772 -0300,"{""id"":""DTEJIS"" , ""amount"":""428.47"" , ""cache-control"":""1""}"
1643,2023-05-16 16:38:13.821 -0300,"{""id"":""E2NC2P"" , ""amount"":""651.13"" , ""cache-control"":""1""}"
1647,2023-05-16 16:44:32.426 -0300,"{""id"":""IX84HG"" , ""amount"":""1261.95"" , ""cache-control"":""1""}"
1650,2023-05-16 16:46:31.614 -0300,"{""id"":""ZUTB0A"" , ""amount"":""381.90"" , ""cache-control"":""1""}"
1660,2023-05-16 17:04:26.962 -0300,"{""id"":""MBU10V"" , ""amount"":""264.90"" , ""cache-control"":""1""}"
1668,2023-05-16 17:10:48.678 -0300,"{""id"":""F7BI9Q"" , ""amount"":""280.16"" , ""cache-control"":""1""}"
